Template,Section,Reference_role,Exact_required_asset,Current_fallback,Exact_dimensions,Aspect_ratio,Crop,Position,Mobile_behavior,Status
1,Opening,Couple photograph,https://digitalinvitation.me/vendor/ethereal-coast/opening-couple.webp,Labelled neutral image slot with original gradient,375: 360 x 844; 430: 415 x 844; 768: 753 x 1024; 1366: 820 x 900 CSS px,viewport-dependent,cover / 50% 50%,absolute inset 0; behind identity; original .28/.48 gradient,100svh; 820px max document width,BLOCKED BY ASSET
1,Invitation wording,Painted paper background,https://digitalinvitation.me/vendor/ethereal-coast/paper-sea.webp,Labelled #f1e7df slot; RSVP height remains frozen,375: 440 x 924; 430: 495 x 924; 768: 833 x 1104; 1366: 900 x 980 CSS px,viewport/section-dependent,cover / center,absolute -40px on all edges; behind content,same extension and crop at every width,BLOCKED BY ASSET
1,Countdown/calendar,Painted paper background,https://digitalinvitation.me/vendor/ethereal-coast/paper-coast.webp,Labelled #f1e7df slot; RSVP height remains frozen,375: 440 x 924; 430: 495 x 924; 768: 833 x 1104; 1366: 900 x 980 CSS px,viewport/section-dependent,cover / center,absolute -40px on all edges; behind content,same extension and crop at every width,BLOCKED BY ASSET
1,Meeting points,Painted paper background,https://digitalinvitation.me/vendor/ethereal-coast/paper-sea.webp,Labelled #f1e7df slot; RSVP height remains frozen,375: 440 x 924; 430: 495 x 924; 768: 833 x 1104; 1366: 900 x 980 CSS px,viewport/section-dependent,cover / center,absolute -40px on all edges; behind content,same extension and crop at every width,BLOCKED BY ASSET
1,Celebration,Painted paper background,https://digitalinvitation.me/vendor/ethereal-coast/paper-coast-corner.webp,Labelled #f1e7df slot; RSVP height remains frozen,375: 440 x 924; 430: 495 x 924; 768: 833 x 1104; 1366: 900 x 980 CSS px,viewport/section-dependent,cover / center,absolute -40px on all edges; behind content,same extension and crop at every width,BLOCKED BY ASSET
1,Dress code,Painted paper background,https://digitalinvitation.me/vendor/ethereal-coast/paper-sea.webp,Labelled #f1e7df slot; RSVP height remains frozen,375: 440 x 924; 430: 495 x 924; 768: 833 x 1104; 1366: 900 x 980 CSS px,viewport/section-dependent,cover / center,absolute -40px on all edges; behind content,same extension and crop at every width,BLOCKED BY ASSET
1,Gifts,Painted paper background,https://digitalinvitation.me/vendor/ethereal-coast/paper-sea.webp,Labelled #f1e7df slot; RSVP height remains frozen,375: 440 x 924; 430: 495 x 924; 768: 833 x 1104; 1366: 900 x 980 CSS px,viewport/section-dependent,cover / center,absolute -40px on all edges; behind content,same extension and crop at every width,BLOCKED BY ASSET
1,RSVP/ending,Painted paper background,https://digitalinvitation.me/vendor/ethereal-coast/paper-coast-border.webp,Labelled #f1e7df slot; RSVP height remains frozen,375: 440 x 982.67; 430: 495 x 988.47; 768: 833 x 1117.08; 1366: 900 x 1057.58 CSS px,viewport/section-dependent,cover / center,absolute -40px on all edges; behind content,same extension and crop at every width,BLOCKED BY ASSET
1,Invitation wording,Couple monogram,Authorized export of original Jack/Stephanie inline monogram,Labelled monogram slot,88 x 88,1:1,contain / center,centered in 496px wording panel,88px at every width,BLOCKED BY ASSET
1,Meeting points,Groom icon,https://digitalinvitation.me/images/templates/groom.svg,Labelled icon inside restored pink disc,27.516 x 27.516 inside 51.2 x 51.2 disc,1:1,contain / center,disc centered above venue,same size; cards stack below 680px,BLOCKED BY ASSET
1,Meeting points,Bride icon,https://digitalinvitation.me/images/templates/bride.svg,Labelled icon inside restored pink disc,27.516 x 27.516 inside 51.2 x 51.2 disc,1:1,contain / center,disc centered above venue,same size; cards stack below 680px,BLOCKED BY ASSET
1,Celebration,Ceremony line icon,Authorized export of original ceremony SVG,Labelled icon disc,28.8 x 28.8 inside 51.2 x 51.2 disc,1:1,contain / center,"left grid column, 54.4px; 16px gap",same size; event cards stack below 680px,BLOCKED BY ASSET
1,Celebration,Celebration line icon,Authorized export of original celebration SVG,Labelled icon disc,28.8 x 28.8 inside 51.2 x 51.2 disc,1:1,contain / center,"left grid column, 54.4px; 16px gap",same size; event cards stack below 680px,BLOCKED BY ASSET
1,Gifts,"Copy icon, both gift cards",Authorized export of original copy SVG,Unicode copy/check glyph; clipboard behavior retained,16 x 16 inside 34.4 x 34.4 button,1:1,no crop,centered beside account details,same size,BLOCKED BY ASSET
1,Ending,Platform logo,https://digitalinvitation.me/images/logo-new-cropped.png,Labelled original gradient badge,100 x 37.125 image; 136 x 54.72 badge,image 2.6936:1,contain / center,centered; badge radius 8px; footer min-height 30vh,same image and badge size,BLOCKED BY ASSET
1,Throughout,Falling leaf artwork,https://digitalinvitation.s3.eu-north-1.amazonaws.com/invitation_fallingImage/realLeaf1.png,18 labelled falling artwork slots,18-46px square layout slots; rotated bounds vary,1:1 slot,contain,fixed full viewport; top -64px; z-index 1150,same 18 slots; reduced-motion preference stops decoration,BLOCKED BY ASSET
1,Throughout,Leaf motion dependency,No source dependency requested: clean CSS reconstruction needs visual validation with authorized leaf,"Authored motion approximation; observed 8-16s fall, about 3-6s spin; exact random trajectories not claimed",fixed viewport,viewport-dependent,not applicable,pointer-transparent fixed layer,same behavior; random source phase cannot be pixel-matched,BLOCKED BY ASSET
2,Opening,Closed curtain,https://digitalinvitation.me/templates/template9/assets/curtain-closed-Bpkadld4.jpg,Labelled burgundy/neutral full-viewport slot,375: 360 x 844; 430: 415 x 844; 768: 753 x 1024; 1366: 1351 x 900 CSS px,viewport-dependent,cover / center,absolute inset 0; behind identity,full 100svh at every width,BLOCKED BY ASSET
2,Opening,Opening/final frame,https://digitalinvitation.me/templates/template9/assets/curtain-video-BAKLj3Y5.mp4,Labelled burgundy/neutral full-viewport slot,375: 360 x 844; 430: 415 x 844; 768: 753 x 1024; 1366: 1351 x 900 CSS px,viewport-dependent,cover / center,absolute inset 0; behind identity,full 100svh at every width,BLOCKED BY MEDIA
2,Opening,Tap hand icon,Authorized export of original tap-hand SVG,Unicode hand in original ring,42 x 42 inside 88 x 88 ring,1:1,no crop,center of full-viewport tap target,same dimensions; 1.8s pulse,BLOCKED BY ASSET
2,Opening,Scroll arrow,Authorized export of original scroll-cue SVG,Unicode down-arrow in the 24px line,24 x 24 reference glyph,1:1,no crop,bottom-centered cue; 7.2px gap under caption,same placement; 2s float / .9s reveal,BLOCKED BY ASSET
2,Reveal date,"Gold scratch coating, three tiles",https://digitalinvitation.me/templates/template9/assets/scratch-gold-DQrdz0lH.png,Labelled neutral canvas coating,375: 96 x 112 each; 430: 112 x 112; 768/1366: 128 x 128,375: 6:7; others 1:1,full tile; 50% border-radius mask,"centered flex row; 12px mobile gap, fluid 5vw up to 48px desktop",mobile tile shrinks to fit; pointer erase and keyboard reveal retained,BLOCKED BY ASSET
2,Meeting houses,Decorative menu frame,https://digitalinvitation.me/templates/template9/assets/menu-frame-BFE5kCs7.png,Labelled transparent frame slot,375: 312 x 554.66; 430: 367 x 652.44; 768: 520 x 924.44; 1366: 520 x 924.44 CSS px,9:16,full artwork / center,absolute inset 0 behind house details,312px at 375; 367px at 430; max 520px,BLOCKED BY ASSET
2,Gifts,Gift illustration,https://digitalinvitation.me/templates/template9/assets/gift-icon-BssCdzah.png,Labelled illustration slot,112 x 112,1:1,contain / center,centered; 32px following margin,112px at all four widths,BLOCKED BY ASSET
2,Non-RSVP body text,TeatroBody typeface,https://digitalinvitation.me/fonts/GothamOffice-Regular.otf,Local Montserrat for base section text; existing Arial kept in frozen RSVP/family areas,measured text sizes in reference-2-style-inventory.json,not applicable,not applicable,same text slots and spacing,font mismatch can change line wrapping,BLOCKED BY FONT
2,Display text,TeatroDisplay typeface,https://digitalinvitation.me/fonts/Chronicle-Semibold.otf,Georgia; measured font sizes/weights retained,"display headings 36px; venues clamp(24px,4vw,40px)",not applicable,not applicable,original heading and venue slots,font mismatch can change line wrapping,BLOCKED BY FONT
2,Music control,Speaker/music glyph,Authorized export of original music-toggle SVG,Unicode music/pause glyph; missing-track notice,22 x 22 inside 48 x 48 button,1:1,no crop,fixed 24px from bottom/right; 2px burgundy border,same placement,BLOCKED BY ASSET
2,Throughout,Invitation soundtrack,https://digitalinvitation.s3.eu-north-1.amazonaws.com/invitation_music/1783935699-BrunoMars-MarryYouLyricsVideo.mp3,No soundtrack; existing control reports unavailable,audio; no visual dimensions,not applicable,not applicable,existing audio element hook; no hotlink,no arbitrary substitute,BLOCKED BY MEDIA
2,Ending,White platform logo,https://digitalinvitation.me/images/logo-white-new-cropped.png,Labelled 112 x 48 footer slot,84 x 30.875 image; 112 x 48 holder,image 2.7206:1,contain / center,centered in 120px burgundy footer,same size,BLOCKED BY ASSET
3,Opening,Swan poster,https://digitalinvitation.me/vendor/sacredgarden/swans-poster.jpg,Labelled neutral full-viewport slot,375: 360 x 844; 430: 415 x 844; 768: 753 x 1024; 1366: 1351 x 900 CSS px,viewport-dependent,cover / center,absolute inset 0; identity begins at 20vh,100svh; video hook autoplay/muted/loop/playsinline,BLOCKED BY ASSET
3,Opening,Swan opening video,https://digitalinvitation.me/vendor/sacredgarden/swans.mp4,Labelled neutral full-viewport slot,375: 360 x 844; 430: 415 x 844; 768: 753 x 1024; 1366: 1351 x 900 CSS px,viewport-dependent,cover / center,absolute inset 0; identity begins at 20vh,100svh; video hook autoplay/muted/loop/playsinline,BLOCKED BY MEDIA
3,Invitation wording,Couple monogram,Authorized export of original Joseph/Sarah inline monogram,Labelled monogram slot,80 x 80,1:1,contain / center,centered; opacity .9; 40px following margin,same size,BLOCKED BY ASSET
3,Schedule heading,Left flourish,https://digitalinvitation.me/vendor/sacredgarden/flourish-left.png,Labelled transparent flourish slot,48 x 24.906,intrinsic artwork ratio,contain / center,beside heading; 12px gap; opacity .85,same size; heading wraps at narrow widths,BLOCKED BY ASSET
3,Schedule heading,Right flourish,https://digitalinvitation.me/vendor/sacredgarden/flourish-right.png,Labelled transparent flourish slot,48 x 25.219,intrinsic artwork ratio,contain / center,beside heading; 12px gap; opacity .85,same size; heading wraps at narrow widths,BLOCKED BY ASSET
3,Timeline,Scrolling rose marker,https://digitalinvitation.me/vendor/sacredgarden/rose-bouquet.png,Labelled marker slot,67.2 x 61.64,1.0902:1,full image / center,centered above timeline; .12s transform interpolation,same size; approximate scroll-follow offset remains,BLOCKED BY ASSET
3,Location,Wide flourish divider,https://digitalinvitation.me/vendor/sacredgarden/flourish-right.png,Corrected from rose to labelled right-flourish slot,128 x 67.281,1.9025:1,contain / center,8px above / 24px below; opacity .75,same size,BLOCKED BY ASSET
3,Gifts,top-right floral corner,https://digitalinvitation.me/vendor/sacredgarden/floral-a.png,Labelled transparent artwork slot,136 x 208.203,0.6532:1,full artwork,"top/right -8/-12, flipX; bottom/left -8/-12, flipY",max-width 40%; retains negative edge crop,BLOCKED BY ASSET
